"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3","whyToBuy/4","whyToBuy/5"
,,,,,"Lumberton, New Jersey, United States","285055935772",,"2300","US $2,300.00","vintagecardinvestment",,"","Clayton Kershaw RC 2008 Stadium Club Rookie Autograph 10 BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/285055935772",,,"Ships from United States",,,,,
,,,,,"Colli Alti, Italy","354400062837",,"2999","US $2,999.00","bubish8790",,"","STICKER DIEGO MARADONA ARGENTINA N. 312 CALCIATORI PANINI 1979-80 ROOKIE PSA 7","Sports Trading Card",,"https://www.ebay.com/itm/354400062837",,,"13 watchers",,,,,
,,,,,"Milton, Delaware, United States","314201522471",,"2800","US $2,800.00","gerdis91",,"","Entire Sports Card Collection over 25,000 cards - 1950's until Present -","Sports Trading Card",,"https://www.ebay.com/itm/314201522471",,,"Ships from United States",,,,,
,,,,,"WINNIPEG, Canada","295056990341",,"3000","US $3,000.00","rookies87",,"","2018 Bowman CHROME #1 Shohei OHTANI BGS 10 (Pristine) Rookie RC (POP 15 only!)","Sports Trading Card",,"https://www.ebay.com/itm/295056990341",,,"5 watchers",,,,,
,,,,,"Valparaiso, Indiana, United States","224712765846",,"2999.99","US $2,999.99","tammiemk0",,"","2014-15 Panini Prizm Damian Lillard SP Variations Green Mojo /25!! PSA 10! Pop 2","Sports Trading Card",,"https://www.ebay.com/itm/224712765846",,,"Ships from United States",,,,,
,,,,,"West Babylon, New York, United States","134317356840",,"2975","US $2,975.00","dabrakus411",,"","1948 LEAF JOE DIMAGGIO SGC 30 NO CREASES GREAT COLOR UNDERGRADED HIGH END KEY!!","Sports Trading Card",,"https://www.ebay.com/itm/134317356840",,,"Ships from United States",,,,,
,,,,,"North York, Ontario, Canada","255631241810",,"2999.99","US $2,999.99","haha2109",,"","PSA 7 Nm 2017 The Cup Patrick Roy Carey Price Scripted Stick Patch Auto 15/15 🔥","Sports Trading Card",,"https://www.ebay.com/itm/255631241810",,,,,,,,
,,,,,"Alfafar, Spain","225122988269",,"2999","US $2,999.00","serialbus2",,"","2019 TOPPS NOW UEFA ANSU FATI ROOKIE RC #010 SGC 10 PR 335 - PWCC","Sports Trading Card",,"https://www.ebay.com/itm/225122988269",,,,,,,,
,,,,,"Bulverde, Texas, United States","114831434934",,"2999.99","US $2,999.99","jeffsportscardcollector",,"","Michael Jordan 1996-97 Fleer Ultra Scoring King BGS 9 Mint non auto Very Rare🔥","Sports Trading Card",,"https://www.ebay.com/itm/114831434934",,,"Ships from United States","11 watchers",,,,
,,,,,"Toronto, Ontario, Canada","184720204096",,"4000","C $4,000.00","jdt_dot416",,"","2011 Topps Update #US175 Mike Trout Rookie Card Graded BGS 8.5","Sports Trading Card",,"https://www.ebay.com/itm/184720204096",,,,,,,,
,,,,,"Des Moines, Iowa, United States","224298990844",,"2999.99","US $2,999.99","gbfromsog",,"","2019-20 Panini Prizm Zion Williamson #248 Red Ice Psa 10 GEM Mint LOW POP!!!📈📈","Sports Trading Card",,"https://www.ebay.com/itm/224298990844",,,"Ships from United States","18 watchers",,,,
,,,,,"Glassboro, New Jersey, United States","285071247876",,"2000","US $2,000.00US $3,000.00","ghosty.187",,"","2018 Donruss Optic #167 LAMAR JACKSON RR Red Prizm RC AUTO BGS 9.5 #/50 10 AUTO","Sports Trading Card",,"https://www.ebay.com/itm/285071247876",,,"Ships from United States",,,,,
,,,,,"Joliet, Illinois, United States","373523103902",,"3000","US $3,000.00","dreamzsportscards",,"","2018 Panini Father's Day NEYMAR JR Brazil Soccer Auto 9.5/10 And TRUE  1 Of 1","Sports Trading Card",,"https://www.ebay.com/itm/373523103902",,,"Ships from United States","10 watchers",,,,
,,,,,"Chicago, Illinois, United States","133767766918",,"3000","US $3,000.00","robsan7584",,"","Kevin Durant 2008-09 Topps Chrome Xfractor 088/288!!  POP 7","Sports Trading Card",,"https://www.ebay.com/itm/133767766918",,,"Ships from United States",,,,,
,,,,,"Windsor, Ontario, Canada","394056460549",,"3000","US $3,000.00","ratherbedrumming0710",,"","2001 Finest Autographs #FA-AP Albert Pujols RC BGS 9.5 TRUE GEM Auto 10","Sports Trading Card",,"https://www.ebay.com/itm/394056460549",,,"18 watchers",,,,,
,,,,,"Fanø, Denmark","285069669384",,"3000","US $3,000.00","ms_dk_sportscards",,"","Cale Makar - 19-20 UD The Cup Limited Logos Jumbo - PSA 9 - /50 - POP 3!!!!","Sports Trading Card",,"https://www.ebay.com/itm/285069669384",,,"23","Watchers",,,,
,,,,,"Whitehorse, Yukon Territory, Canada","144449467679",,"3000","US $3,000.00","ig.gem_mint_oilers",,"","2015-16 Fleer Ultra Rookies Platinum Medallion Connor McDavid #23/99 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/144449467679",,,"24 watchers",,,,,
,,,,,"Kissimmee, Florida, United States","391994239239",,"3000","US $3,000.00","a.j.vezina",,"","PSA 7 HENRI DALLAIRE 1911 Imperial Tobacco C55 Hockey Card #39 CENTERED","Sports Trading Card",,"https://www.ebay.com/itm/391994239239",,,"Ships from United States",,,,,
,,,,,"Kissimmee, Florida, United States","391700102597",,"3000","US $3,000.00","a.j.vezina",,"","PSA 10 GEORGES VEZINA 2000 BAP Vezina Memorabilia Card V16 HIGHEST EVER GRADED","Sports Trading Card",,"https://www.ebay.com/itm/391700102597",,,"Ships from United States","13 watchers",,,,
,,,,,"Ancaster, Ontario, Canada","324986516060",,"2975","US $2,975.00","sloth55",,"","1953-54  PARKHURST HOCKEY #27 JEAN BELIVEAU RC ROOKIE -  PSA  3  VG - (SLOTH55)","Sports Trading Card",,"https://www.ebay.com/itm/324986516060",,,"22 watchers",,,,,
,,,,,"Andover, New Jersey, United States","115533801342",,"2999.99","US $2,999.99","jd_sportcards",,"","Jalen Hurts 2020 Panini Select Cosmic Prizm Field Level SGC 10 Rookie RC SSP","Sports Trading Card",,"https://www.ebay.com/itm/115533801342",,,"Ships from United States","12 watchers",,,,
,,,,,"Upland, California, United States","125528411850",,"2999.99","US $2,999.99","gho7805",,"","1995 Donruss Wayne Gretzky Elite Inserts Signed Psa 8 Auto 10 Pop 1 No Higher",,,"https://www.ebay.com/itm/125528411850",,,"Ships from United States",,,,,
,,,,,"Bulverde, Texas, United States","114831490250",,"2999.99","US $2,999.99","jeffsportscardcollector",,"","Wilt Chamberlain auto Cut autograph BGS Certified Beckett Authenticated RARE 1","Sports Trading Card",,"https://www.ebay.com/itm/114831490250",,,"Ships from United States","9 watchers",,,,
,,,,,"Buffalo Grove, Illinois, United States","275369628417",,"2999.99","US $2,999.99","e3sports",,"","1992 Skybox #382 Shaquille O'NEAL - PSA 10+++ RC AUTO DNA Magic - pop 8","Sports Trading Card",,"https://www.ebay.com/itm/275369628417",,,"Returns accepted","Ships from United States","5 watchers",,,
,,,,,"Buffalo Grove, Illinois, United States","284883929921",,"2999.99","US $2,999.99","e3sports",,"","1989 Donruss #33 Ken GRIFFEY Jr - PSA 10+++ DNA RC Mariners Auto","Sports Trading Card",,"https://www.ebay.com/itm/284883929921",,,"Returns accepted","Ships from United States","6 watchers",,,
,,,,,"Corpus Christi, Texas, United States","115517881491",,"2999.99","US $2,999.99","cardmarketempire1",,"","2019-20 Zion Williamson PSA 9 Panini Prizm Auto Autograph SP Rookie Rc *NICE*","Sports Trading Card","Does not apply","https://www.ebay.com/itm/115517881491",,,"Returns accepted","Ships from United States",,,,
,,,,,"Baltimore, Maryland, United States","325112759582",,"2999.99","US $2,999.99","andybrezgo76",,"","2019 Bowman Chrome Mega Box Noelvi Marte Gold Refractor 44/50 PSA 10 Low Pop. 9","Sports Trading Card","Does not apply","https://www.ebay.com/itm/325112759582",,,"Ships from United States",,,,,
,,,,,"Corpus Christi, Texas, United States","115517875636",,"2999.99","US $2,999.99","cardmarketempire1",,"","2019-20 Zion Williamson BGS 9 Panini One & One Auto Autograph Rookie #59/99","Sports Trading Card","Does not apply","https://www.ebay.com/itm/115517875636",,,"Returns accepted","Ships from United States",,,,
,,,,,"Dearborn, Michigan, United States","124347323349",,"2999.99","US $2,999.99","getmoney2132",,"","LUKA DONCIC 2018-19 PANINI PRIZM PINK ICE PRIZMS ROOKIE RC #280 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/124347323349",,,"Ships from United States","22 watchers",,,,
,,,,,"Dearborn, Michigan, United States","324452937188",,"2995","US $2,995.00","nfarj",,"","2002 Sports Card Investor 2003 Sports Illustrated for Kids LeBron James PRO 10",,,"https://www.ebay.com/itm/324452937188",,,"Ships from United States",,,,,
,,,,,"default, default, Singapore","285008753157",,"2999.99","US $2,999.99","1311milagro",,"","2011 Ace Authentic EX Roger Federer & Rafael Nadal Memorabilia Booklet Jersey/59","Sports Trading Card",,"https://www.ebay.com/itm/285008753157",,,,,,,,
,,,,,"Morton, Illinois, United States","304577439420",,"2999","US $2,999.00","illinoisboy85",,"","2021 Topps Chrome F1 Mick Schumacher Red Ray Wave Portrait /5 PSA 10 Pop 1","Sports Trading Card",,"https://www.ebay.com/itm/304577439420",,,"Ships from United States","14 watchers",,,,
,,,,,"Belleville, Michigan, United States","374336681506",,"2999","US $2,999.00","dorgan8691",,"","NBA Hoops Jalen Green Rookie Card /25 PSA GEM MT 10, POP 1, SSP","Sports Trading Card",,"https://www.ebay.com/itm/374336681506",,,"Ships from United States",,,,,
,,,,,"default, default, Singapore","284844184067",,"2999.99","US $2,999.99","1311milagro",,"","2006 Ace Authentic Rafael Nadal Heroes & Legends PSA Signed Auto Autograph 10","Sports Trading Card",,"https://www.ebay.com/itm/284844184067",,,"8 watchers",,,,,
,,,,,"Fairfield, California, United States","224112442210",,"3000","US $3,000.00","ig-carboard_collect",,"","2018-19 Donruss Optic Michael Porter Jr. RC Auto Blue PRIZM /49 BGS 9.5 True+","Sports Trading Card",,"https://www.ebay.com/itm/224112442210",,,"Ships from United States","23 watchers",,,,
,,,,,"Carrollton, Texas, United States","374227498130",,"2999","US $2,999.00","naughtyredbox",,"","JUAN SOTO VLADIMIR GUERRERO JR RONALD ACUNA PSA 9 2022 Topps Definitive Auto /10","Sports Trading Card",,"https://www.ebay.com/itm/374227498130",,,"Ships from United States","8 watchers",,,,
,,,,,"Denver, Colorado, United States","204139521068",,"3000","US $3,000.00","petrocat",,"","Alex Bregman 2016 1st Bowman Chrome Auto /150 Blue PSA 10 Astros autograph Pop 7","Sports Trading Card",,"https://www.ebay.com/itm/204139521068",,,"Ships from United States",,,,,
,,,,,"Chicago, Illinois, United States","165769106663",,"3000","US $3,000.00","alfred646",,"","jeremy pena 1st bowman chrome ORANGE REFRACTOR /25 psa 10","Sports Trading Card",,"https://www.ebay.com/itm/165769106663",,,"Ships from United States",,,,,
,,,,,"Newton Center, Massachusetts, United States","174676765984",,"3000","US $3,000.00","abbar09",,"","1991-92 O-PEE-CHEE OPC PREMIER Wayne Gretzky #3 BGS 10 Pristine (Low Pop)","Sports Trading Card",,"https://www.ebay.com/itm/174676765984",,,"Ships from United States","8 watchers",,,,
,,,,,"Toronto, Ontario, Canada","275476965345",,"3000","US $3,000.00","oddsandends1980",,"","2003-04 LEBRON JAMES BOWMAN CHROME ROOKIE#123 / BGS 9.5 GEM MINT- INSANE SUBS",,,"https://www.ebay.com/itm/275476965345",,,,,,,,
,,,,,"Rockwall, Texas, United States","224493464633",,"3000","US $3,000.00","bbc2gpkcollector",,"","1981 WTF CO. Rochester Red Wings #1 Cal Ripken Jr. BGS 9 with 2 9.5 subs! WOW!","Sports Trading Card",,"https://www.ebay.com/itm/224493464633",,,"Ships from United States","9 watchers",,,,
,,,,,"London, Ontario, Canada","303895371933",,"3000","US $3,000.00","chrithompso-702",,"Razor sharp and centred! All time great!","1996 topps chrome kobe bryant psa 9, check out sportscardportfolio.ca- blog","Sports Trading Card",,"https://www.ebay.com/itm/303895371933",,,"7 watchers",,,,,
,,,,,"Baltimore, Maryland, United States","224609965126",,"2999.99","US $2,999.99","andybrezgo76",,"","2018 Panini National Treasures Auto Sam Darnold RC /99 2-color RPA PSA 10 Pop 6","Sports Trading Card",,"https://www.ebay.com/itm/224609965126",,,"Ships from United States",,,,,
,,,,,"Chicago, Illinois, United States","334653697170",,"2999.99","US $2,999.99","jpritz2323",,"","🔥LaMELO BALL 2021 PRIZM DP PURPLE ICE ROOKIE AUTOGRAPH CARD PSA 10 /99!🔥","Sports Trading Card",,"https://www.ebay.com/itm/334653697170",,,"Ships from United States",,,,,
,,,,,"Baltimore, Maryland, United States","224817861814",,"2999.99","US $2,999.99","andybrezgo76",,"","2020 Panini Absolute Spectrum Gold Joe Burrow Rookie Auto RC 07/10 PSA 8 & 10","Sports Trading Card",,"https://www.ebay.com/itm/224817861814",,,"Ships from United States",,,,,
,,,,,"Fort Collins, Colorado, United States","284430197367",,"2999","US $2,999.00","bacon914",,"","2017 Panini XR Patrick Mahomes RC Blue RPA 5/10 BGS 8 NM-MT Auto 10 Ctr 9 RARE!!","Sports Trading Card",,"https://www.ebay.com/itm/284430197367",,,"Returns accepted","Ships from United States","11 watchers",,,
,,,,,"Saint-Marc-des-Carrieres, Quebec, Canada","204120996979",,"2896.25","US $2,896.25","steevesmiv",,"","HENRI RICHARD RC 1957-58 PARKHURST 1957-58 NO M4  PSA 4 52681","Sports Trading Card",,"https://www.ebay.com/itm/204120996979",,,,,,,,
,,,,,"Tokyo, Japan","133954073095",,"3000","US $3,000.00","akao-23",,"","Ric Flair PSA COSMOS Menko 1982 Pro Wrestling japanese Vintage card PSA 8","Sports Trading Card",,"https://www.ebay.com/itm/133954073095",,,"Returns accepted","11 watchers",,,,
,,,,,"Baltimore, Maryland, United States","175425770312",,"2999.99","US $2,999.99","james_simmons_cards",,"","2003 Upper Deck Freshman Season Lebron James Rookie Kobe #39 GEM Mint 10 PSA","Sports Trading Card",,"https://www.ebay.com/itm/175425770312",,,"Returns accepted","Ships from United States","10 watchers",,,
,,,,,"Kissimmee, Florida, United States","393175375127",,"2970","US $2,970.00","a.j.vezina",,"","PSA 5 NEWSY LaLONDE 1911 C55 Hockey Card #42 CENTERED","Sports Trading Card",,"https://www.ebay.com/itm/393175375127",,,"Ships from United States",,,,,
,,,,,"Siu Sai Wan, Hong Kong","204122409705",,"3000","US $3,000.00","waitak",,"","2018-19 Panini Donruss Phil Foden RC Rated Rookie Canvas Press Proof 24/25 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/204122409705",,,,,,,,
,,,,,"Oakland, California, United States","295233815793",,"3000","US $3,000.00","emk-investment",,"","Lamar Jackson 2018 Panini Obsidian Electric Etch Red/5 BGS 9 POP 1",,,"https://www.ebay.com/itm/295233815793",,,"Ships from United States","6 watchers",,,,
,,,,,"Siu Sai Wan, Hong Kong","115571200343",,"3000","US $3,000.00","waitak",,"","2003 Upper Deck Manchester United #14 Cristiano Ronaldo RC Base PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/115571200343",,,,,,,,
,,,,,"Woodbridge, Ontario, Canada","234811472446",,"2891.12","C $2,891.12C $3,979.12","sportscardslabseller",,"","2020 Select Ceedee Lamb Zebra Field Level Die Cut Prizm Pop 1 GEM MT 10 rookie","Sports Trading Card",,"https://www.ebay.com/itm/234811472446",,,,,,,,
,,,,,"Hollidaysburg, Pennsylvania, United States","125154740897",,"2995","US $2,995.00","cardsnscoops",,"","Sidney Crosby - 2005-06 Upper Deck Young Guns #201 Rookie Card Gem Mint BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/125154740897",,,"Ships from United States","5 watchers",,,,
,,,,,"Hampstead, New Hampshire, United States","185682115900",,"2999.99","US $2,999.99","cori6262011",,"","2018 Topps 1983 Red Shohei Ohtani RC Rookie Ssp AUTO /25 BGS 9.5 Auto 9","Sports Trading Card",,"https://www.ebay.com/itm/185682115900",,,"Ships from United States","10 watchers",,,,
,,,,,"Hollidaysburg, Pennsylvania, United States","125624562580",,"2995","US $2,995.00","cardsnscoops",,"","Sidney Crosby - 2005-06 Upper Deck Young Guns #201 Rookie Card Gem Mint BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/125624562580",,,"Ships from United States",,,,,
,,,,,"Foothill Ranch, California, United States","165803728062",,"2999","US $2,999.00","thenandnowcollectibles",,"","2020 Panini Select Courtside Elephant Tyrese Maxey RC PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/165803728062",,,"Ships from United States",,,,,
,,,,,"Hong Kong, Hong Kong","203889949491",,"3000","US $3,000.00","ysey_63",,"","2018-19 Topps Chrome Uefa Sancho RC Dortmund Man Utd BGS 10","Sports Trading Card",,"https://www.ebay.com/itm/203889949491",,,,,,,,
,,,,,"Tucson, Arizona, United States","324522121643",,"3000","US $3,000.00","jameschung17",,"","2003 Dwyane Wade SP Authentic SP Signatures #DY-A PSA 9 Mint Graded Rookie","Sports Trading Card",,"https://www.ebay.com/itm/324522121643",,,"Ships from United States","6 watchers",,,,
,,,,,"Markham, Ontario, Canada","304109743489",,"3000","US $3,000.00","shiftintermedia",,"","2016 TOPPS FIVE STAR #CRI CAL RIPKEN JR. AUTO GOLD SERIAL #41/50 PSA 10 / DNA 10","Sports Trading Card",,"https://www.ebay.com/itm/304109743489",,,,,,,,
,,,,,"default, default, Hong Kong","144729494411",,"2999.99","US $2,999.99","reject_him",,"","Tracy McGrady RC 1997-98 Topps Chrome Rookie Refractor #125 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/144729494411",,,"Returns accepted",,,,,
,,,,,"default, default, Singapore","284877439418",,"2999.99","US $2,999.99","1311milagro",,"","2008 Donruss Sports Legends Serena Williams PSA Graded Auto Autograph Signed NM","Sports Trading Card",,"https://www.ebay.com/itm/284877439418",,,,,,,,
,,,,,"Canton, Georgia, United States","144599938188",,"2999.99","US $2,999.99","big_kid_collection",,"","2011 Topps Update Mike Trout RC US175 BGS 9.5. Angels","Sports Trading Card",,"https://www.ebay.com/itm/144599938188",,,"Ships from United States",,,,,
,,,,,"Toronto, Ontario, Canada","275476353535",,"2999.99","US $2,999.99","oddsandends1980",,"","ANTHONY EDWARDS PANINI INSTANT- 10/10-SSP- AUTO- PSA GRADED- CARD #1","Sports Trading Card",,"https://www.ebay.com/itm/275476353535",,,,,,,,
,,,,,"Beijing, Beijing, China","325291400097",,"2999.99","US $2,999.99","yeovil2010",,"","2018 Panini Prizm World Cup Red Cristiano Ronaldo /149 PSA 10 Portugal",,"Does not apply","https://www.ebay.com/itm/325291400097",,,,,,,,
,,,,,"Beijing, Beijing, China","324788198818",,"2999.99","US $2,999.99","yeovil2010",,"","2018/19 Donruss Optic Rated Rookie Green Velocity Phil Foden /200 PSA 10 England",,"Does not apply","https://www.ebay.com/itm/324788198818",,,"59 watchers",,,,,
,,,,,"Pinedale, Wyoming, United States","124782492591",,"2999.99","US $2,999.99","trewilkinso6",,"","1987 Fleer Michael Jordan psa 9 OC - looks perfect!",,,"https://www.ebay.com/itm/124782492591",,,"Ships from United States",,,,,
,,,,,"Beijing, Beijing, China","224676084985",,"2999.99","US $2,999.99","yeovil2010",,"","2019/20 Panini Impeccable All Star Appearances Auto Vince Carter 3/8 SSP HOF",,"Does not apply","https://www.ebay.com/itm/224676084985",,,"21 watchers",,,,,
,,,,,"Memphis, Tennessee, United States","184976497926",,"2999.69","US $2,999.69","aznhit_man",,"","🏀2016 Stephen Curry Panini Threads On Card Auto 17/99 PSA 9/10 4 Rings! HOF!🔥","Sports Trading Card","Does not apply","https://www.ebay.com/itm/184976497926",,,"Ships from United States","42 watchers",,,,
,,,,,"Hong Kong, Hong Kong","203991077362",,"2999","US $2,999.00","ysey_63",,"","2019-20 Topps Chrome UEFA Soccer Gold/50 Joao Felix At. Madrid Portugal psa10","Sports Trading Card",,"https://www.ebay.com/itm/203991077362",,,,,,,,
,,,,,"Hong Kong, Hong Kong","204101938008",,"2999","US $2,999.00","ysey_63",,"","2019-20 1st Panini Obsidian Soccer RC Daniel James 1/1 Man Utd Leeds Bgs9.5","Sports Trading Card",,"https://www.ebay.com/itm/204101938008",,,,,,,,
,,"Legacy",,,"Saint Paul, Minnesota, United States","385213315864",,"3000","US $3,000.00","tridiam-0",,"","2022 Legacy Malik Willis RC GOLD VINYL Mini 1/1 Rookie","Sports Trading Card",,"https://www.ebay.com/itm/385213315864",,,"Ships from United States",,,,,
,,,,,"Flanders, New Jersey, United States","175272487461",,"2999.99","US $2,999.99","njcollectibles07",,"","ROYCE LEWIS TWINS ROOKIE AUTO 2017 BGS 10 10 *PRISTINE* 31/50 BOWMAN CHROME GOLD","Sports Trading Card",,"https://www.ebay.com/itm/175272487461",,,"Ships from United States",,,,,
,,,,,"Houston, Texas, United States","155168015619",,"2999.99","US $2,999.99","nostalgiaslabs",,"","2013 Upper Deck EXQUISITE COLLECTION 15/15 AUTO BILL RUSSELL MAGIC JOHNSON PSA 8","Sports Trading Card",,"https://www.ebay.com/itm/155168015619",,,"Ships from United States",,,,,
,,,,,"Lexington, Kentucky, United States","114861870972",,"2999","US $2,999.00","everything4salehere",,"","2019-20 RJ BARRETT #07/25 Mosaic WHITE fluorescent PRIZM KNICKS PSA 10  229 RC","Sports Trading Card",,"https://www.ebay.com/itm/114861870972",,,"11","Watchers",,,,
,,,,,"Buffalo Grove, Illinois, United States","275155307222",,"2999.99","US $2,999.99","e3sports",,"","1986 Topps #374 - Steve YOUNG - PSA 9+++ RC HOF 49ers","Sports Trading Card",,"https://www.ebay.com/itm/275155307222",,,"Returns accepted","Ships from United States","6 watchers",,,
,,,,,"Bronx, New York, United States","265054119985",,"3000","US $3,000.00","www.itsanotherhit.com",,"","1997 TOPPS CHROME KOBE BRYANT PSA 10 GEM MINT RC 2nd Year Rare 🚀🚀","Sports Trading Card",,"https://www.ebay.com/itm/265054119985",,,"Returns accepted","Ships from United States","35 watchers",,,
,,,,,"Axtell, Texas, United States","203037216074",,"2999","US $2,999.00","jrv1",,"PSA 10 crossover ?","zion williamson Mosaic Scripts Auto RC Silver Prizm BGS 9.5 10",,,"https://www.ebay.com/itm/203037216074",,,"Ships from United States",,,,,
,,,,,"Saint Paul, Minnesota, United States","385172887133",,"2995","US $2,995.00","tridiam-0",,"","2021 Panini Obsidian Zach Wilson Supernova Blue Finite 1/1 PSA Authentic E570","Sports Trading Card",,"https://www.ebay.com/itm/385172887133",,,"Ships from United States",,,,,
,,,,,"Englishtown, New Jersey, United States","143681282440",,"3000","US $3,000.00","danjeff2819",,"","2 Luka Doncic 2018 Panini Prizm #280 PSA 10 Rookie cards",,,"https://www.ebay.com/itm/143681282440",,,"Returns accepted","Ships from United States",,,,
,,,,,"Andover, Minnesota, United States","234463652304",,"3000","US $3,000.00","footballpro46",,"","2020 Justin Herbert Rated Rookie Press Proof Black /10. PSA 9.","Sports Trading Card",,"https://www.ebay.com/itm/234463652304",,,"Ships from United States","8 watchers",,,,
,,,,,"Morganville, New Jersey, United States","303918417318",,"3000","US $3,000.00","jb_hof_autos",,"","2007-08 Topps Chrome #131 Kevin Durant PSA 9 Mint Rookie Card High End Invest","Sports Trading Card",,"https://www.ebay.com/itm/303918417318",,,"Ships from United States",,,,,
,,,,,"Laval, Quebec, Canada","134279582324",,"3000","US $3,000.00","canadian_rookies",,"","2011 Topps Update Mike Trout Diamond Anniversary RC PSA8 NM-MINT","Sports Trading Card",,"https://www.ebay.com/itm/134279582324",,,"10 watchers",,,,,
,,,,,"Laval, Quebec, Canada","134279520823",,"3000","US $3,000.00","canadian_rookies",,"","2016 Bowman Chrome Vladimir Guerrero Jr BGS9.5/10 Auto Rookie GEM MINT",,,"https://www.ebay.com/itm/134279520823",,,,,,,,
,,,,,"Erie, Pennsylvania, United States","175358304263",,"3000","US $3,000.00","revolutionnutrition",,"","Michael Jordan 1997-98 Fleer Ultra Star Power Supreme #1 GMA 8 NM-MT Very Rare !","Sports Trading Card","Does not apply","https://www.ebay.com/itm/175358304263",,,"Returns accepted","Ships from United States","18 watchers",,,
,,,,,"Oklahoma City, Oklahoma, United States","134332132623",,"3000","US $3,000.00","kx450rydr2014",,"","2019 Select Kyler Murray GOLD Prizm 1/10 POP 1!! JERSEY NUMBER!! BGS9.5","Sports Trading Card",,"https://www.ebay.com/itm/134332132623",,,"Ships from United States",,,,,
,,,,,"Canoga Park, California, United States","204127414786",,"3000","US $3,000.00","grays",,"","1933 Goudey #160 Lou Gehrig SGC 1","Sports Trading Card",,"https://www.ebay.com/itm/204127414786",,,"Ships from United States","5 watchers",,,,
,,,,,"Oslo, Norway","353623880275",,"3000","US $3,000.00","kidstennis2000",,"","2020 Topps Chrome BVB Erling Haaland C18 - Borussia Dortmund Gold Refractor 2/10","Sports Trading Card",,"https://www.ebay.com/itm/353623880275",,,"25 watchers",,,,,
,,,,,"Staten Island, New York, United States","224941804335",,"3000","US $3,000.00","yulka143",,"","2020 Bowman Chrome Sapphire Purple Xavier Edwards RC 2/10 BGS 9.5 w/ 10 AUTO","Sports Trading Card","Does not apply","https://www.ebay.com/itm/224941804335",,,"Ships from United States",,,,,
,,,,,"Canoga Park, California, United States","204127414823",,"3000","US $3,000.00","grays",,"","1963 Topps #537 Pete Rose PSA 6","Sports Trading Card",,"https://www.ebay.com/itm/204127414823",,,"Ships from United States","5 watchers",,,,
,,,,,"Columbia, Missouri, United States","133825473740",,"3000","US $3,000.00","crumbs101",,"","2018 Bowman Chrome Orange Refractor Auto Adolis Garcia, #/25, BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/133825473740",,,"5","Watchers",,,,
,,,,,"Milwaukee, Wisconsin, United States","224787540899",,"3000","US $3,000.00","erdmaus2014",,"","Odell Beckham Jr. 2014 Bowman 1950 Mini Rookie Autograph Red Ink #1/5 - PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/224787540899",,,"Ships from United States",,,,,
,,,,,"Glendale, California, United States","334639048141",,"3000","US $3,000.00","lasportscardss",,"","2020 Contenders Optic Player Of The Year Gold Auto /10 Josh Allen PSA 9 Auto 10","Sports Trading Card",,"https://www.ebay.com/itm/334639048141",,,"Ships from United States",,,,,
,,,,,"Taipei, Taiwan","115544209302",,"3000","US $3,000.00","great-goods-auction",,"","2019 TOPPS '84 CHROME GREEN REFRACTOR SHOHEI OHTANI 17/99 JERSEY NUMBER BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/115544209302",,,,,,,,
,,,,,"Rockwall, Texas, United States","225264166922",,"3000","US $3,000.00","bbc2gpkcollector",,"","1962 Topps Lou Brock #387 PSA 8","Sports Trading Card",,"https://www.ebay.com/itm/225264166922",,,"Ships from United States",,,,,
,,,,,"Terre Haute, Indiana, United States","314055377346",,"3000","US $3,000.00","dmax35",,"","2013 Exquisite Collection Drew Brees/Ben Roethlisberger Dual Auto #9/15 BGS 9.5","Sports Trading Card","Does not apply","https://www.ebay.com/itm/314055377346",,,"Ships from United States",,,,,
,,,,,"West Babylon, New York, United States","134317358778",,"2950","US $2,950.00","dabrakus411",,"","1953 TOPPS MICKEY MANTLE #82 GAI 2 WELL CENTERED GREAT COLOR NICE KEY CARD!","Sports Trading Card",,"https://www.ebay.com/itm/134317358778",,,"Ships from United States",,,,,
,,,,,"Newton Center, Massachusetts, United States","174676763039",,"3000","US $3,000.00","abbar09",,"","1990-91 O-PEE-CHEE OPC PREMIER Wayne Gretzky #38 BGS 10 Pristine (Low Pop)","Sports Trading Card",,"https://www.ebay.com/itm/174676763039",,,"Ships from United States","9 watchers",,,,
